O3-1,O3-2,NO2-1,NO2-2,CO-1,CO-2
1151,1286,1151,1286,1176,1306
975,1487,975,1487,1047,1464
1034,1703,1034,1703,1116,1629
980,1773,980,1773,1074,1629
825,1848,825,1848,922,1707
807,1550,807,1550,898,1424
842,1350,842,1350,970,1297
950,1235,950,1235,1073,1214
1024,1162,1024,1162,1081,1160
1098,1211,1098,1211,1159,1232
1011,1097,1011,1097,1112,1134
931,1021,931,1021,1112,1071
811,913,811,913,1063,968
756,909,756,909,1032,994
607,983,607,983,936,1046
498,1024,498,1024,883,1066
540,1243,540,1243,942,1277
544,1253,544,1253,943,1290
620,1240,620,1240,1007,1268
740,1155,740,1155,1037,1243
921,1193,921,1193,1127,1300
1033,1153,1033,1153,1123,1278
984,1034,984,1034,1110,1249
1193,870,1193,870,1247,1145
1219,890,1219,890,1220,1199
913,946,913,946,1028,1236
750,1033,750,1033,978,1289
772,1107,772,1107,949,1299
712,1395,712,1395,910,1506
712,1342,712,1342,863,1432
727,1152,727,1152,836,1193
746,1128,746,1128,856,1188
733,1104,733,1104,888,1162
727,1055,727,1055,912,1106
642,904,642,904,938,1037
810,835,810,835,1053,982
851,781,851,781,1087,944
911,761,911,761,1153,929
611,742,611,742,894,906
368,779,368,779,797,907
369,894,369,894,854,1013
394,927,394,927,892,1055
415,1034,415,1034,935,1138
469,1217,469,1217,989,1250
607,1093,607,1093,1063,1165
498,1073,498,1073,922,1229
481,969,481,969,925,1168
465,777,465,777,924,1092
478,743,478,743,914,1109
366,777,366,777,840,1133
332,819,332,819,799,1192
346,1056,346,1056,856,1298
350,1481,350,1481,830,1524
274,1590,274,1590,753,1540
263,1211,263,1211,785,1190
314,1052,314,1052,835,1092
367,1000,367,1000,865,1079
432,874,432,874,922,995
536,852,536,852,975,960
555,728,555,728,1040,890
677,713,677,713,1115,860
557,734,557,734,1004,860
421,777,421,777,895,883
423,815,423,815,917,929
519,1002,519,1002,1025,1100
533,1302,533,1302,1035,1257
537,1542,537,1542,1025,1402
612,1571,612,1571,1040,1376
697,1614,697,1614,1070,1374
573,1583,573,1583,964,1381
489,1285,489,1285,904,1282
474,1094,474,1094,913,1188
455,1113,455,1113,914,1227
433,1395,433,1395,893,1364
376,1620,376,1620,844,1531
360,1882,360,1882,837,1694
384,2006,384,2006,868,1723
363,1643,363,1643,825,1356
525,1239,525,1239,956,1084
873,1121,873,1121,1124,1039
1399,1012,1399,1012,1496,1011
1501,961,1501,961,1452,968
1186,825,1186,825,1172,867
911,703,911,703,1020,820
919,752,919,752,1044,826
791,741,791,741,1020,835
751,786,751,786,1009,887
805,952,805,952,1073,990
966,1601,966,1601,1098,1511
869,1621,869,1621,1061,1352
1196,1622,1196,1622,1289,1337
1523,1759,1523,1759,1442,1435
1579,1666,1579,1666,1479,1377
1370,1918,1370,1918,1266,1562
1204,1525,1204,1525,1149,1358
1201,1332,1201,1332,1168,1301
1122,1183,1122,1183,1079,1255
1003,1414,1003,1414,1047,1410
918,1680,918,1680,936,1578
836,2004,836,2004,900,1700
759,2094,759,2094,839,1778
755,1780,755,1780,840,1539
820,1640,820,1640,905,1409
998,1379,998,1379,1079,1231
1403,1139,1403,1139,1417,1092
1641,1001,1641,1001,1529,1036
1534,910,1534,910,1397,984
1257,895,1257,895,1214,950
1026,805,1026,805,1109,889
993,761,993,761,1122,865
919,805,919,805,1094,917
1032,894,1032,894,1164,997
1077,1439,1077,1439,1188,1433
883,1706,883,1706,1098,1516
1036,1756,1036,1756,1180,1528
1144,1493,1144,1493,1195,1347
1212,1567,1212,1567,1234,1392
1486,1376,1486,1376,1425,1359
1440,1399,1440,1399,1320,1391
1242,1293,1242,1293,1158,1335
1089,1348,1089,1348,1060,1402
993,1314,993,1314,1036,1406
862,1507,862,1507,943,1527
815,1660,815,1660,899,1559
714,2143,714,2143,889,1840
682,1968,682,1968,847,1666
744,1490,744,1490,918,1336
1050,1249,1050,1249,1105,1189
1522,1265,1522,1265,1491,1226
1623,1181,1623,1181,1508,1171
1638,954,1638,954,1489,1002
1633,875,1633,875,1451,950
1654,838,1654,838,1454,930
1559,825,1559,825,1392,924
1374,882,1374,882,1351,994
1418,990,1418,990,1418,1089
1228,1423,1228,1423,1303,1468
1293,1823,1293,1823,1292,1696
1642,1581,1642,1581,1560,1479
1895,1500,1895,1500,1765,1425
2086,1268,2086,1268,1875,1279
1898,1230,1898,1230,1746,1319
1758,1204,1758,1204,1607,1329
1284,1205,1284,1205,1277,1327
1075,1103,1075,1103,1207,1282
1084,1195,1084,1195,1209,1342
1049,1618,1049,1618,1189,1623
1021,1637,1021,1637,1132,1576
778,1876,778,1876,974,1747
948,1959,948,1959,1033,1757
988,1477,988,1477,1075,1331
1184,1210,1184,1210,1242,1182
1600,1160,1600,1160,1657,1162
1495,1116,1495,1116,1406,1147
1188,974,1188,974,1150,1040
1166,820,1166,820,1184,920
1219,792,1219,792,1223,931
1128,839,1128,839,1196,954
1373,898,1373,898,1559,981
1415,1096,1415,1096,1544,1147
1302,1786,1302,1786,1485,1606
1308,1604,1308,1604,1498,1490
1449,1637,1449,1637,1593,1473
1385,1827,1385,1827,1529,1582
1492,1641,1492,1641,1689,1468
1380,1505,1380,1505,1535,1413
1167,1465,1167,1465,1304,1400
1095,1368,1095,1368,1235,1361
1105,1748,1105,1748,1281,1389
1051,1301,1051,1301,1167,1305
1009,1338,1009,1338,1134,1354
972,1337,972,1337,1100,1352
884,1516,884,1516,1057,1472
661,1435,661,1435,902,1412
774,1178,774,1178,982,1221
868,1111,868,1111,997,1230
965,1112,965,1112,1141,1247
985,1109,985,1109,1163,1217
963,1072,963,1072,1107,1158
1069,1030,1069,1030,1228,1150
864,935,864,935,1033,1061
641,922,641,922,984,1062
740,1054,740,1054,1066,1157
532,1082,532,1082,926,1167
572,1365,572,1365,979,1403
630,1497,630,1497,993,1453
608,1540,608,1540,970,1455
644,1554,644,1554,997,1512
833,1252,833,1252,1097,1331
923,1455,923,1455,1105,1472
790,1339,790,1339,993,1430
961,1062,961,1062,1136,1264
1177,1266,1177,1266,1297,1378
943,1223,943,1223,1110,1377
742,1469,742,1469,1027,1527
705,1553,705,1553,1024,1573
663,1689,663,1689,992,1674
536,1387,536,1387,929,1455
441,1139,441,1139,892,1242
477,960,477,960,895,1181
506,1293,506,1293,915,1468
608,1357,608,1357,947,1520
663,1103,663,1103,1032,1203
912,857,912,857,1219,1096
963,658,963,658,1217,991
803,549,803,549,1097,941
564,627,564,627,938,952
501,930,501,930,944,1082
701,1001,701,1001,1139,1095
783,917,783,917,1163,1049
784,834,784,834,1157,1055
861,796,861,796,1154,1074
1156,1040,1156,1040,1342,1229
1047,1110,1047,1110,1178,1228
1034,836,1034,836,1152,1107
962,704,962,704,1078,1031
1100,773,1100,773,1167,1155
1047,811,1047,811,1111,1131
874,848,874,848,988,1143
747,892,747,892,917,1145
589,992,589,992,850,1169
635,950,635,950,885,1105
671,882,671,882,888,1049
992,883,992,883,1101,1069
1308,892,1308,892,1399,1073
1303,836,1303,836,1325,1039
893,837,893,837,1058,1021
715,498,715,498,990,825
685,494,685,494,1018,828
947,507,947,507,1105,847
1049,660,1049,660,1194,903
741,902,741,902,1088,1041
801,1240,801,1240,1084,1314
969,1395,969,1395,1207,1326
1038,1625,1038,1625,1186,1464
889,1359,889,1359,1053,1313
879,1152,879,1152,1032,1202
846,1159,846,1159,989,1225
712,1179,712,1179,930,1257
747,1227,747,1227,951,1271
791,1119,791,1119,985,1179
637,1243,637,1243,937,1278
553,1449,553,1449,887,1435
449,1405,449,1405,806,1326
485,1444,485,1444,771,1324
540,1386,540,1386,802,1206
685,1102,685,1102,878,1052
925,1041,925,1041,1070,1057
1382,881,1382,881,1430,952
1645,791,1645,791,1565,911
1514,796,1514,796,1365,898
1509,647,1509,647,1348,809
1520,716,1520,716,1311,823
1471,719,1471,719,1302,814
1282,733,1282,733,1250,857
1004,835,1004,835,1083,935
714,1094,714,1094,1005,1159
940,1114,940,1114,1129,1102
1272,903,1272,903,1327,979
1526,914,1526,914,1428,998
1488,872,1488,872,1426,962
1475,860,1475,860,1310,985
1182,959,1182,959,1114,1043
933,814,933,814,991,929
1001,827,1001,827,1089,946
756,804,756,804,911,955
952,906,952,906,1005,1004
808,958,808,958,863,1037
779,1032,779,1032,857,1066
717,772,717,772,804,890
779,618,779,618,871,843
1009,614,1009,614,1035,834
1595,550,1595,550,1513,809
1940,511,1940,511,1726,786
1628,469,1628,469,1396,747
1573,425,1573,425,1333,723
1187,394,1187,394,1161,704
900,392,900,392,1081,709
800,408,800,408,1075,726
770,517,770,517,1055,798
758,750,758,750,1053,925
886,787,886,787,1087,906
1219,788,1219,788,1304,896
1725,760,1725,760,1625,882
1745,839,1745,839,1649,948
1600,827,1600,827,1443,945
1310,765,1310,765,1209,942
1208,814,1208,814,1105,943
1074,737,1074,737,1020,894
993,875,993,875,991,984
923,983,923,983,937,1044
819,942,819,942,882,981
727,971,727,971,843,1021
694,891,694,891,819,943
727,724,727,724,834,863
926,719,926,719,977,847
1194,705,1194,705,1234,859
1502,718,1502,718,1403,861
1743,584,1743,584,1538,786
1542,469,1542,469,1343,740
1354,438,1354,438,1243,730
1175,432,1175,432,1201,728
916,487,916,487,1121,755
818,655,818,655,1087,854
1028,1009,1028,1009,1165,1079
1113,1113,1113,1113,1224,1097
1431,1030,1431,1030,1431,1024
1503,986,1503,986,1433,990
1775,975,1775,975,1527,1013
1505,984,1505,984,1387,1051
1211,982,1211,982,1158,1052
872,1117,872,1117,1009,1141
855,1177,855,1177,1026,1130
1170,1129,1170,1129,1119,1099
1024,1217,1024,1217,1000,1182
841,1234,841,1234,866,1211
760,1412,760,1412,848,1340
803,1350,803,1350,844,1299
793,968,793,968,852,1046
906,759,906,759,923,949
1541,741,1541,741,1490,966
1861,866,1861,866,1662,1062
1895,757,1895,757,1553,934
1684,675,1684,675,1423,862
1731,624,1731,624,1458,823
1402,605,1402,605,1349,839
1246,703,1246,703,1326,879
1342,998,1342,998,1356,1095
1489,1311,1489,1311,1460,1359
1532,1403,1532,1403,1497,1354
1909,1573,1909,1573,1645,1420
1757,1354,1757,1354,1557,1265
1983,1131,1983,1131,1747,1146
1703,1113,1703,1113,1482,1150
1246,1258,1246,1258,1211,1282
1321,985,1321,985,1294,1067
1375,1197,1375,1197,1300,1185
1456,1402,1456,1402,1402,1312
1442,1491,1442,1491,1349,1319
1243,1396,1243,1396,1161,1255
1078,1198,1078,1198,1022,1123
939,1166,939,1166,948,1126
937,752,937,752,933,924
1019,717,1019,717,1021,982
1140,693,1140,693,1134,936
1351,816,1351,816,1311,1069
1459,766,1459,766,1409,967
1297,631,1297,631,1301,869
1291,683,1291,683,1354,916
1296,654,1296,654,1391,886
972,759,972,759,1200,926
1194,876,1194,876,1338,971
880,926,880,926,1223,1029
909,1091,909,1091,1278,1124
839,1045,839,1045,1257,1063
1248,928,1248,928,1497,1028
1476,777,1476,777,1567,944
1502,640,1502,640,1503,913
873,741,873,741,1169,966
528,483,528,483,1007,833
492,522,492,522,1004,891
463,718,463,718,967,995
494,798,494,798,984,1038
503,1174,503,1174,931,1146
581,891,581,891,966,1059
350,799,350,799,777,1065
305,855,305,855,763,1013
329,734,329,734,804,942
375,691,375,691,830,925
373,557,373,557,833,871
385,523,385,523,875,864
403,610,403,610,882,929
393,574,393,574,862,912
388,470,388,470,863,817
371,434,371,434,830,786
347,507,347,507,807,827
396,467,396,467,873,789
474,591,474,591,931,875
505,717,505,717,918,959
625,774,625,774,1001,969
941,697,941,697,1169,947
893,701,893,701,1085,960
731,752,731,752,940,1017
955,760,955,760,1126,979
761,505,761,505,978,843
515,529,515,529,893,877
434,832,434,832,838,1053
369,904,369,904,803,1047
335,1050,335,1050,775,1105
319,1000,319,1000,767,1008
378,911,378,911,809,975
517,858,517,858,898,954
786,903,786,903,1053,987
844,781,844,781,1033,880
720,714,720,714,941,856
668,625,668,625,941,788
605,568,605,568,917,760
646,616,646,616,977,777
640,710,640,710,994,825
571,953,571,953,942,1011
605,1271,605,1271,981,1237
636,1447,636,1447,984,1298
886,1296,886,1296,1116,1153
1032,1217,1032,1217,1181,1101
977,1341,977,1341,1163,1215
924,1180,924,1180,1081,1163
846,1365,846,1365,1017,1285
755,1410,755,1410,966,1288
610,1529,610,1529,924,1362
439,1573,439,1573,861,1405
402,1810,402,1810,826,1610
406,1834,406,1834,846,1612
424,1672,424,1672,842,1520
558,1686,558,1686,909,1489
746,1302,746,1302,930,1181
1126,1023,1126,1023,1120,995
1703,992,1703,992,1518,998
1628,960,1628,960,1461,984
936,955,936,955,1075,1022
890,887,890,887,1061,951
757,851,757,851,1066,910
949,903,949,903,1179,932
1109,954,1109,954,1251,974
870,1107,870,1107,1120,1117
1011,1442,1011,1442,1187,1367
885,1818,885,1818,1145,1583
1015,1802,1015,1802,1215,1526
1155,1671,1155,1671,1317,1399
1315,1710,1315,1710,1388,1436
1359,1746,1359,1746,1295,1455
1194,1495,1194,1495,1153,1311
951,1203,951,1203,1078,1174
1054,1252,1054,1252,1133,1242
980,1528,980,1528,1055,1267
898,1629,898,1629,953,1401
803,1608,803,1608,892,1428
684,1664,684,1664,895,1478
644,1666,644,1666,859,1518
677,1594,677,1594,856,1468
996,1421,996,1421,1030,1369
1736,1337,1736,1337,1689,1244
1692,1270,1692,1270,1486,1217
2108,1156,2108,1156,1592,1103
1807,1124,1807,1124,1469,1118
1566,1049,1566,1049,1364,1087
1293,1044,1293,1044,1285,1069
1219,1109,1219,1109,1311,1112
1330,1224,1330,1224,1416,1196
1299,1611,1299,1611,1387,1522
1111,2004,1111,2004,1329,1715
1300,1776,1300,1776,1496,1582
1653,1723,1653,1723,1676,1494
1716,1916,1716,1916,1724,1631
1720,1955,1720,1955,1642,1650
1339,1894,1339,1894,1267,1640
1166,1823,1166,1823,1146,1589
1256,1793,1256,1793,1216,1538
1125,1956,1125,1956,1128,1597
968,2203,968,2203,1042,1884
814,2073,814,2073,926,1835
743,1923,743,1923,898,1759
758,1780,758,1780,889,1666
861,1609,861,1609,959,1506
1047,1466,1047,1466,1097,1378
1665,1504,1665,1504,1674,1448
1982,1518,1982,1518,1771,1481
1711,1289,1711,1289,1408,1289
1204,1076,1204,1076,1156,1109
871,947,871,947,1042,994
1040,970,1040,970,1167,1015
1439,900,1439,900,1398,966
1516,1034,1516,1034,1458,1088
1693,1235,1693,1235,1554,1303
1635,1455,1635,1455,1495,1440
1688,1478,1688,1478,1560,1392
1820,1393,1820,1393,1664,1248
2006,1237,2006,1237,1761,1197
1740,1373,1740,1373,1524,1357
1577,1310,1577,1310,1398,1263
1443,1287,1443,1287,1342,1261
1411,1413,1411,1413,1433,1382
1217,1483,1217,1483,1297,1400
1086,1539,1086,1539,1179,1443
1050,1691,1050,1691,1097,1630
965,1846,965,1846,1054,1720
906,1665,906,1665,1017,1600
917,1577,917,1577,1005,1525
1116,1603,1116,1603,1206,1544
1380,1530,1380,1530,1458,1455
1378,1205,1378,1205,1405,1203
1365,999,1365,999,1381,1038
1273,904,1273,904,1315,975
1242,843,1242,843,1332,917
1294,843,1294,843,1362,930
1413,886,1413,886,1399,960
1224,911,1224,911,1310,982
1318,1319,1318,1319,1399,1359
1404,1927,1404,1927,1524,1500
1471,1554,1471,1554,1487,1315
1623,1565,1623,1565,1480,1307
1786,1462,1786,1462,1626,1235
1569,1487,1569,1487,1449,1310
1495,1690,1495,1690,1363,1459
1471,1603,1471,1603,1371,1461
1384,1568,1384,1568,1406,1476
1789,1743,1789,1743,1425,1612
1323,2007,1323,2007,1179,1654
1081,2235,1081,2235,1047,1808
938,1998,938,1998,1009,1681
673,1795,673,1795,882,1494
543,1407,543,1407,858,1251
561,1211,561,1211,875,1132
862,1202,862,1202,1012,1158
901,1136,901,1136,1049,1146
1048,946,1048,946,1131,993
971,915,971,915,1120,989
915,864,915,864,1117,943
891,836,891,836,1110,910
628,842,628,842,962,925
556,1002,556,1002,963,1039
652,1165,652,1165,1050,1208
683,1294,683,1294,1053,1268
624,1475,624,1475,1045,1353
733,1436,733,1436,1124,1317
1062,1465,1062,1465,1330,1356
988,1583,988,1583,1171,1414
871,1432,871,1432,1085,1326
1243,1270,1243,1270,1358,1211
1175,1354,1175,1354,1385,1324
1126,1318,1126,1318,1167,1324
1118,1351,1118,1351,1072,1361
864,1530,864,1530,938,1475
942,1615,942,1615,1000,1537
684,1415,684,1415,854,1413
689,1219,689,1219,815,1229
767,1307,767,1307,866,1297
817,1297,817,1297,911,1302
940,1321,940,1321,988,1347
908,1133,908,1133,1046,1165
871,1124,871,1124,1085,1155
689,997,689,997,1008,1050
629,952,629,952,1004,1035
602,972,602,972,948,1057
617,965,617,965,1026,1029
677,984,677,984,1047,1037
580,880,580,880,1018,920
861,1001,861,1001,1160,1080
1080,1137,1080,1137,1269,1152
1288,1023,1288,1023,1394,1085
1163,962,1163,962,1292,1071
1043,825,1043,825,1212,1000
1045,877,1045,877,1137,1058
929,1046,929,1046,1080,1184
825,1060,825,1060,1031,1189
545,1155,545,1155,917,1277
500,1464,500,1464,888,1482
494,2185,494,2185,872,1555
505,1959,505,1959,876,1324
717,1375,717,1375,964,1015
1126,1212,1126,1212,1147,1010
1597,1273,1597,1273,1493,1081
1687,1249,1687,1249,1597,1071
1529,1097,1529,1097,1483,1014
1366,933,1366,933,1222,891
1074,858,1074,858,1060,874
940,870,940,870,1048,882
921,1013,921,1013,1051,940
695,1087,695,1087,998,1020
795,1566,795,1566,1058,1316
1079,1631,1079,1631,1203,1423
1473,1564,1473,1564,1491,1314
1493,1601,1493,1601,1467,1317
1308,1539,1308,1539,1407,1305
1189,1577,1189,1577,1324,1351
1076,1732,1076,1732,1214,1438
806,1672,806,1672,1016,1454
973,1744,973,1744,1135,1512
929,1845,929,1845,1065,1584
778,2164,778,2164,999,1816
633,2106,633,2106,911,1824
497,2007,497,2007,873,1744
458,1791,458,1791,881,1588
579,1444,579,1444,967,1319
1003,1373,1003,1373,1280,1313
1393,1110,1393,1110,1564,1073
1406,1099,1406,1099,1505,1119
1308,968,1308,968,1309,989
863,847,863,847,1035,912
1004,852,1004,852,1148,904
1023,799,1023,799,1152,851
978,834,978,834,1131,902
979,956,979,956,1142,981
971,1259,971,1259,1197,1267
617,1494,617,1494,960,1392
717,1458,717,1458,1077,1308
1220,1491,1220,1491,1377,1313
1296,1560,1296,1560,1405,1350
1413,1750,1413,1750,1484,1477
1093,1709,1093,1709,1187,1409
586,1786,586,1786,870,1495
575,1900,575,1900,932,1606
441,1963,441,1963,830,1669
358,2161,358,2161,778,1822
377,2372,377,2372,820,1908
437,2062,437,2062,842,1664
468,1736,468,1736,867,1465
580,1192,580,1192,927,1076
805,1043,805,1043,1060,1055
1273,948,1273,948,1440,1075
1452,992,1452,992,1449,1135
1307,867,1307,867,1384,998
1102,825,1102,825,1172,953
1083,803,1083,803,1143,926
1083,786,1083,786,1167,895
1236,866,1236,866,1303,967
1223,1113,1223,1113,1264,1164
1175,1384,1175,1384,1242,1421
933,1516,933,1516,1070,1465
835,1222,835,1222,981,1189
1291,1354,1291,1354,1198,1278
802,1291,802,1291,1000,1169
842,1308,842,1308,1110,1214
744,1420,744,1420,1023,1351
500,1297,500,1297,861,1340
560,1157,560,1157,969,1157
589,1130,589,1130,898,1118
488,1195,488,1195,835,1150
387,1341,387,1341,766,1247
355,1228,355,1228,743,1194
351,1273,351,1273,758,1184
420,1006,420,1006,804,990
695,898,695,898,948,933
1139,894,1139,894,1204,968
1315,789,1315,789,1231,861
1217,805,1217,805,1176,904
1014,770,1014,770,1043,866
884,776,884,776,992,881
524,744,524,744,885,838
644,825,644,825,991,905
1032,1013,1032,1013,1182,1055
1038,1341,1038,1341,1191,1328
1077,1528,1077,1528,1272,1401
983,1432,983,1432,1138,1291
834,1499,834,1499,1008,1316
949,1236,949,1236,1075,1116
941,1180,941,1180,1034,1139
756,1196,756,1196,934,1165
655,1301,655,1301,883,1260
805,1646,805,1646,1021,1475
970,1720,970,1720,1059,1521
969,1852,969,1852,1023,1633
671,1670,671,1670,855,1463
575,1208,575,1208,826,1140
535,1160,535,1160,831,1147
489,937,489,937,817,988
689,783,689,783,972,924
1196,807,1196,807,1200,950
1266,729,1266,729,1234,926
1130,612,1130,612,1164,879
834,574,834,574,976,864
536,579,536,579,844,868
545,687,545,687,851,894
720,856,720,856,926,1009
655,976,655,976,890,1069
614,1208,614,1208,921,1311
725,1400,725,1400,1052,1370
1036,1278,1036,1278,1247,1246
1127,934,1127,934,1205,1039
854,1073,854,1073,1016,1296
792,1363,792,1363,984,1523
891,1346,891,1346,1041,1424
876,1393,876,1393,1027,1513
851,1255,851,1255,1025,1338
787,1213,787,1213,984,1214
711,1332,711,1332,969,1290
396,1430,396,1430,758,1353
375,1102,375,1102,767,1130
343,895,343,895,772,969
401,905,401,905,831,1038
518,869,518,869,871,1020
685,982,685,982,995,1097
939,999,939,999,1093,1123
974,881,974,881,1079,1023
959,868,959,868,1084,1015
1067,843,1067,843,1204,979
1061,833,1061,833,1213,931
1008,825,1008,825,1124,922
637,901,637,901,945,989
647,1090,647,1090,964,1149
523,1165,523,1165,903,1202
539,1201,539,1201,918,1206
649,1231,649,1231,1028,1224
1071,1461,1071,1461,1175,1371
1237,1434,1237,1434,1215,1327
1018,1399,1018,1399,1072,1301
966,1417,966,1417,1070,1301
901,1395,901,1395,1021,1314
949,1442,949,1442,1063,1394
1057,1425,1057,1425,1068,1385
989,1496,989,1496,993,1440
1005,1551,1005,1551,1034,1493
1003,1381,1003,1381,1025,1319
1087,1229,1087,1229,1036,1187
909,1082,909,1082,924,1119
882,963,882,963,922,1100
568,939,568,939,830,1076
620,825,620,825,947,972
686,811,686,811,977,973
700,720,700,720,1025,918
780,627,780,627,1040,844
558,589,558,589,1013,817
608,540,608,540,1035,791
754,551,754,551,1086,819
544,742,544,742,967,972
550,824,550,824,968,997
627,1059,627,1059,1004,1194
877,1144,877,1144,1132,1240
981,994,981,994,1121,1117
832,1014,832,1014,1068,1141
941,924,941,924,1123,1062
1022,1023,1022,1023,1101,1160
888,1033,888,1033,997,1169
683,1065,683,1065,875,1185
534,1516,534,1516,815,1571
489,1648,489,1648,803,1464
562,1466,562,1466,829,1423
652,1365,652,1365,867,1318
1019,1247,1019,1247,1118,1229
1678,1183,1678,1183,1632,1187
1749,2150,1749,2150,1598,1353
1494,2519,1494,2519,1378,1407
1186,1925,1186,1925,1132,1333
1051,1762,1051,1762,1108,1269
1027,1579,1027,1579,1131,1253
981,1599,981,1599,1105,1212
976,1395,976,1395,1120,1061
932,1323,932,1323,1100,1028
871,1309,871,1309,1098,1067
990,1441,990,1441,1137,1111
1196,1830,1196,1830,1267,1189
1329,1704,1329,1704,1319,1293
1151,1576,1151,1576,1160,1285
1031,1305,1031,1305,1084,1236
917,991,917,991,1025,1082
860,1148,860,1148,953,1188
910,1307,910,1307,959,1348
699,1386,699,1386,834,1394
596,1420,596,1420,787,1472
643,1341,643,1341,799,1291
704,1258,704,1258,807,1264
741,1245,741,1245,866,1264
968,1231,968,1231,1035,1260
1561,1151,1561,1151,1469,1184
1779,1048,1779,1048,1553,1122
1822,928,1822,928,1513,983
1675,813,1675,813,1395,885
